Time,Autokonsumpcja (W),Eksport (W),Import (W),Pobór (W),Produkcja (W)
01.10.2020 0:00,"0","0","406.8323","406.8323","0"
01.10.2020 0:15,"0","0","403.5656","403.5656","0"
01.10.2020 0:30,"0","0","336.7334","336.7334","0"
01.10.2020 0:45,"0","0","306.5291","306.5291","0"
01.10.2020 1:00,"0","0","1397.2651","1397.2651","0"
01.10.2020 1:15,"0","0","267.8035","267.8035","0"
01.10.2020 1:30,"0","0","283.6643","283.6643","0"
01.10.2020 1:45,"0","0","391.3396","391.3396","0"
01.10.2020 2:00,"0","0","408.2694","408.2694","0"
01.10.2020 2:15,"0","0","406.6404","406.6404","0"
01.10.2020 2:30,"0","0","1406.6937","1406.6937","0"
01.10.2020 2:45,"0","0","309.2332","309.2332","0"
01.10.2020 3:00,"0","0","309.0676","309.0676","0"
01.10.2020 3:15,"0","0","308.8026","308.8026","0"
01.10.2020 3:30,"0","0","381.8355","381.8355","0"
01.10.2020 3:45,"0","0","409.8046","409.8046","0"
01.10.2020 4:00,"0","0","406.4778","406.4778","0"
01.10.2020 4:15,"0","0","333.4163","333.4163","0"
01.10.2020 4:30,"0","0","247.7506","247.7506","0"
01.10.2020 4:45,"0","0","289.7263","289.7263","0"
01.10.2020 5:00,"0","0","309.5262","309.5262","0"
01.10.2020 5:15,"0","0","309.623","309.623","0"
01.10.2020 5:30,"0","0","1687.355","1687.355","0"
01.10.2020 5:45,"0","0","655.4341","655.4341","0"
01.10.2020 6:00,"0","0","449.2026","449.2026","0"
01.10.2020 6:15,"0","0","445.5713","445.5713","0"
01.10.2020 6:30,"0","0","840.5066","840.5066","0"
01.10.2020 6:45,"0","0","305.6538","305.6538","0"
01.10.2020 7:00,"0","0","309.9533","309.9533","0"
01.10.2020 7:15,"0","0","288.8285","288.8285","0"
01.10.2020 7:30,"0","0","251.4162","251.4162","0"
01.10.2020 7:45,"0","0","1401.833","1401.833","0"
01.10.2020 8:00,"5.6667","0","1054.6588","1060.3254","5.6667"
01.10.2020 8:15,"17.6667","0","1764.5107","1782.1774","17.6667"
01.10.2020 8:30,"51.3333","0","790.0756","841.4089","51.3333"
01.10.2020 8:45,"55","0","529.7286","584.7286","55"
01.10.2020 9:00,"84.3333","0","496.3128","580.6462","84.3333"
01.10.2020 9:15,"225.2974","18.3693","1350.8158","1576.1132","243.6667"
01.10.2020 9:30,"201","0","190.8185","391.8185","201"
01.10.2020 9:45,"314","0","65.2816","379.2816","314"
01.10.2020 10:00,"299.6667","0","80.6204","380.287","299.6667"
01.10.2020 10:15,"297.3333","0","50.9285","348.2618","297.3333"
01.10.2020 10:30,"277.8208","63.5125","0","277.8208","341.3333"
01.10.2020 10:45,"260.333","106.3336","0","260.333","366.6667"
01.10.2020 11:00,"220.5988","145.7345","0","220.5988","366.3333"
01.10.2020 11:15,"247.4577","64.8757","0","247.4577","312.3333"
01.10.2020 11:30,"378.2665","131.7334","0","378.2665","510"
01.10.2020 11:45,"376.072","221.5947","0","376.072","597.6667"
01.10.2020 12:00,"367.8274","201.8393","0","367.8274","569.6667"
01.10.2020 12:15,"446.5187","203.148","930.3021","1376.8208","649.6667"
01.10.2020 12:30,"268.2656","69.0677","13.5402","281.8058","337.3333"
01.10.2020 12:45,"340.7361","9.264","61.6594","402.3955","350"
01.10.2020 13:00,"326.3333","0","137.8939","464.2273","326.3333"
01.10.2020 13:15,"417.3333","0","83.937","501.2703","417.3333"
01.10.2020 13:30,"467.6667","0","205.4247","673.0914","467.6667"
01.10.2020 13:45,"432","0","192.1772","624.1772","432"
01.10.2020 14:00,"380","0","820.2222","1200.2222","380"
01.10.2020 14:15,"259.3333","0","1154.7649","1414.0983","259.3333"
01.10.2020 14:30,"260.6857","70.981","95.0165","355.7021","331.6667"
01.10.2020 14:45,"286.2126","234.454","0","286.2126","520.6667"
01.10.2020 15:00,"283.2213","99.4454","5.7033","288.9246","382.6667"
01.10.2020 15:15,"202.6667","0","198.4527","401.1194","202.6667"
01.10.2020 15:30,"215","0","206.4171","421.4171","215"
01.10.2020 15:45,"333.3333","0","2282.3594","2615.6926","333.3333"
01.10.2020 16:00,"238.6667","0","2631.9482","2870.615","238.6667"
01.10.2020 16:15,"119.3333","0","1871.7124","1991.0458","119.3333"
01.10.2020 16:30,"0","0","3198.0286","3198.0286","0"
01.10.2020 16:45,"0","0","2003.2581","2003.2581","0"
01.10.2020 17:00,"0","0","2139.6692","2139.6692","0"
01.10.2020 17:15,"0","0","1305.4614","1305.4614","0"
01.10.2020 17:30,"0","0","1269.3663","1269.3663","0"
01.10.2020 17:45,"0","0","2105.4023","2105.4023","0"
01.10.2020 18:00,"0","0","618.1559","618.1559","0"
01.10.2020 18:15,"0","0","2255.677","2255.677","0"
01.10.2020 18:30,"0","0","343.3228","343.3228","0"
01.10.2020 18:45,"0","0","1366.3015","1366.3015","0"
01.10.2020 19:00,"0","0","324.9514","324.9514","0"
01.10.2020 19:15,"0","0","1402.548","1402.548","0"
01.10.2020 19:30,"0","0","644.8749","644.8749","0"
01.10.2020 19:45,"0","0","1605.191","1605.191","0"
01.10.2020 20:00,"0","0","548.3281","548.3281","0"
01.10.2020 20:15,"0","0","501.3069","501.3069","0"
01.10.2020 20:30,"0","0","1465.5765","1465.5765","0"
01.10.2020 20:45,"0","0","391.9572","391.9572","0"
01.10.2020 21:00,"0","0","410.2356","410.2356","0"
01.10.2020 21:15,"0","0","464.0311","464.0311","0"
01.10.2020 21:30,"0","0","558.178","558.178","0"
01.10.2020 21:45,"0","0","568.1274","568.1274","0"
01.10.2020 22:00,"0","0","555.1198","555.1198","0"
01.10.2020 22:15,"0","0","474.8904","474.8904","0"
01.10.2020 22:30,"0","0","1376.0277","1376.0277","0"
01.10.2020 22:45,"0","0","307.6049","307.6049","0"
01.10.2020 23:00,"0","0","309.9417","309.9417","0"
01.10.2020 23:15,"0","0","253.6716","253.6716","0"
01.10.2020 23:30,"0","0","352.239","352.239","0"
01.10.2020 23:45,"0","0","390.3852","390.3852","0"
02.10.2020 0:00,"0","0","1474.0441","1474.0441","0"
02.10.2020 0:15,"0","0","340.9258","340.9258","0"
02.10.2020 0:30,"0","0","308.3358","308.3358","0"
02.10.2020 0:45,"0","0","308.9388","308.9388","0"
02.10.2020 1:00,"0","0","303.4377","303.4377","0"
02.10.2020 1:15,"0","0","337.6923","337.6923","0"
02.10.2020 1:30,"0","0","402.6966","402.6966","0"
02.10.2020 1:45,"0","0","403.5291","403.5291","0"
02.10.2020 2:00,"0","0","405.0101","405.0101","0"
02.10.2020 2:15,"0","0","299.9513","299.9513","0"
02.10.2020 2:30,"0","0","249.6559","249.6559","0"
02.10.2020 2:45,"0","0","290.1659","290.1659","0"
02.10.2020 3:00,"0","0","311.6395","311.6395","0"
02.10.2020 3:15,"0","0","343.522","343.522","0"
02.10.2020 3:30,"0","0","1489.6923","1489.6923","0"
02.10.2020 3:45,"0","0","404.1326","404.1326","0"
02.10.2020 4:00,"0","0","401.0347","401.0347","0"
02.10.2020 4:15,"0","0","338.0751","338.0751","0"
02.10.2020 4:30,"0","0","303.4302","303.4302","0"
02.10.2020 4:45,"0","0","303.7957","303.7957","0"
02.10.2020 5:00,"0","0","245.7677","245.7677","0"
02.10.2020 5:15,"0","0","1311.177","1311.177","0"
02.10.2020 5:30,"0","0","1503.8088","1503.8088","0"
02.10.2020 5:45,"0","0","432.894","432.894","0"
